ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00010628,"InChI=1S/C16H15NO2/c18-10-14-8-13-9-15(6-7-16(13)17-14)19-11-12-4-2-1-3-5-12/h1-9,17-18H,10-11H2",OCc1cc2cc(OCc3ccccc3)ccc2[nH]1,673.5366106210544,False,['21778-79-0'],0.2528943235,2,$134.00/5 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph006343
POOL-00008566,"InChI=1S/C12H13BrN2O2/c1-12(2,3)17-11(16)15-5-4-8-6-9(13)7-14-10(8)15/h4-7H,1-3H3",CC(C)(C)OC(=O)n1ccc2cc(Br)cnc21,569.3795833007298,False,['928653-80-9'],0.1781314003,2,$761.00/1 G,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ade000917
POOL-00033157,"InChI=1S/C15H21N/c1-2-4-12(5-3-1)8-9-16-15-11-13-6-7-14(15)10-13/h1-5,13-16H,6-11H2",c1ccc(CCNC2CC3CCC2C3)cc1,332.5480049718988,False,['4935-80-2'],0.2075023047,2,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s409723
POOL-00019923,"InChI=1S/C14H24N2O/c1-2-3-15-13(17)16-14-7-10-4-11(8-14)6-12(5-10)9-14/h10-12H,2-9H2,1H3,(H2,15,16,17)",CCCN=C(O)NC12CC3CC(CC(C3)C1)C2,288.89968687730504,False,['73405-14-8'],0.2161402628,2,$68.10/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s948535
POOL-00018076,"InChI=1S/C14H24N2O/c1-2-15-13(17)16-9-14-6-10-3-11(7-14)5-12(4-10)8-14/h10-12H,2-9H2,1H3,(H2,15,16,17)",CCN=C(O)NCC12CC3CC(CC(C3)C1)C2,288.89968687730504,False,['126334-04-1'],0.2147944326,2,$106.00/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s948500
POOL-00031310,"InChI=1S/C13H19NO2S/c1-3-8-5-6-9-10(7-8)17-12(14)11(9)13(15)16-4-2/h8H,3-7,14H2,1-2H3",CCOC(=O)c1c(N)sc2c1CCC(CC)C2,425.2991073432544,False,['329222-94-8'],0.1826517881,2,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r433144
POOL-00005058,"InChI=1S/C14H20N2O3/c1-14(2,3)19-13(18)16-7-6-15-12-5-4-11(17)8-10(12)9-16/h4-5,8,15,17H,6-7,9H2,1-3H3",CC(C)(C)OC(=O)N1CCNc2ccc(O)cc2C1,480.0696877526981,False,['886364-39-2'],0.1978835121,2,,,
POOL-00029416,"InChI=1S/C10H10N2O2S/c1-2-14-10(13)12-9-11-7-5-3-4-6-8(7)15-9/h3-6H,2H2,1H3,(H,11,12,13)",CCOC(O)=Nc1nc2ccccc2s1,459.882974770444,False,['28953-15-3'],0.1883253379,2,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r242756
POOL-00013415,"InChI=1S/C14H15NO2S/c1-15-7-11(10-4-5-18-14(10)8-15)9-2-3-12(16)13(17)6-9/h2-6,11,16-17H,7-8H2,1H3",CN1Cc2sccc2C(c2ccc(O)c(O)c2)C1,578.9230103519731,False,['79599-97-6'],0.1888729998,2,,,
POOL-00036685,"InChI=1S/C15H14N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8,14,18H,9H2,(H2,16,19)",N=C(O)N1c2ccccc2CC(O)c2ccccc21,639.5476302733751,False,['29331-92-8'],0.17499779,2,$325.00/nan,"Available to ship on May 26, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/sial/phr3294
