,DIMRED_FEAT_nn=50;md=0[dot]3_x,DIMRED_FEAT_nn=50;md=0[dot]3_y,DIMRED_FEAT_nn=50;md=0[dot]7_x,DIMRED_FEAT_nn=50;md=0[dot]7_y,DIMRED_CHEM_nn=50;md=0[dot]3_x,DIMRED_CHEM_nn=50;md=0[dot]3_y,DIMRED_CHEM_nn=50;md=0[dot]7_x,DIMRED_CHEM_nn=50;md=0[dot]7_y,ligand_label
14084,11.160153,8.044227,11.785054,8.079234,5.8393188,4.480655,7.3191667,2.952766,POOL-00010067
14085,10.127751,6.991966,11.102208,5.8399143,4.142846,2.9552193,8.545542,4.6261897,POOL-00024557
14086,10.005091,4.6707726,10.5729265,2.989162,4.3926277,9.398554,4.693202,4.340569,POOL-00032474
14087,11.0844755,9.511018,12.04363,10.252097,6.404187,4.6570344,6.709863,2.8073785,POOL-00030134
14088,4.0252094,10.408284,4.952476,11.514605,3.9876494,3.0111487,8.406522,4.684972,POOL-00036007
14089,12.816458,6.887232,9.213339,8.229161,6.5101814,7.471012,5.0944858,1.3821883,POOL-00005477
14090,-3.058514,11.108335,-3.6257386,12.012435,6.4391756,4.905144,6.635258,3.4779735,POOL-00006275
14091,14.263792,11.619926,14.286968,10.485361,6.413088,4.986162,6.2798386,3.9345946,POOL-00038707
14092,12.91259,9.878883,8.852826,12.127052,3.55866,7.1711345,5.931474,-0.012758109,POOL-00027011
14093,14.904885,10.167135,14.205892,7.759633,4.5627217,3.821956,7.4203997,3.3028417,POOL-00041742
14094,-1.1966798,7.960709,-0.93441874,7.351504,3.7529664,3.4352756,7.921847,4.4941087,POOL-00043332
14095,12.753839,6.7789574,9.502388,7.4938517,5.4105496,5.160962,4.514428,2.8563402,POOL-00010176
14096,11.57377,10.72693,12.737129,12.147639,4.8999577,9.659826,5.1886334,4.330762,POOL-00019544
14097,13.125108,8.177959,9.400116,9.77773,3.583685,7.2670803,6.1077623,0.104060404,POOL-00028852
14098,11.289106,5.413244,10.881807,4.506673,3.945566,3.210496,8.002378,4.366847,POOL-00039755
14099,-1.2893105,9.489181,-1.3241817,9.1049385,3.920557,3.2583606,8.129596,4.5691743,POOL-00040947
14100,-1.2860433,10.116899,-1.097039,10.153464,3.906878,3.123309,8.152247,4.533907,POOL-00019909
