ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00016171,InChI=1S/C14H9FO3/c15-12-6-4-11(5-7-12)14(17)18-13-3-1-2-10(8-13)9-16/h1-9H,O=Cc1cccc(OC(=O)c2ccc(F)cc2)c1,575.8479048590731,False,['444076-31-7'],0.2183659867
POOL-00011452,InChI=1S/C14H10O3/c15-9-11-1-5-13(6-2-11)17-14-7-3-12(10-16)4-8-14/h1-10H,O=Cc1ccc(Oc2ccc(C=O)cc2)cc1,462.6685153473756,False,['2215-76-1'],0.2166806111
POOL-00018084,"InChI=1S/C15H12O3/c1-18-15(17)14-8-6-13(7-9-14)12-4-2-11(10-16)3-5-12/h2-10H,1H3",COC(=O)c1ccc(-c2ccc(C=O)cc2)cc1,553.2975148337516,False,['70916-89-1'],0.2201295165
POOL-00018085,"InChI=1S/C15H12O3/c1-18-15(17)13-7-5-12(6-8-13)14-4-2-3-11(9-14)10-16/h2-10H,1H3",COC(=O)c1ccc(-c2cccc(C=O)c2)cc1,570.5475148337515,False,['221021-36-9'],0.2176808974
POOL-00025611,"InChI=1S/C11H10F2O3/c1-2-16-11(15)6-10(14)7-3-4-8(12)9(13)5-7/h3-5H,2,6H2,1H3",CCOC(=O)CC(=O)c1ccc(F)c(F)c1,415.69074398534826,False,['252955-07-0'],0.2155779355
POOL-00029686,InChI=1S/C14H9FO3/c15-12-5-2-4-11(8-12)14(17)18-13-6-1-3-10(7-13)9-16/h1-9H,O=Cc1cccc(OC(=O)c2cccc(F)c2)c1,593.0979048590729,False,['332929-51-8'],0.2166465515
POOL-00026228,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-4-3-5-8(6-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1cccc(C(F)(F)F)c1,437.8329507587544,False,['110193-60-7'],0.2169916893
POOL-00026229,"InChI=1S/C11H9F3O3/c1-2-17-10(16)9(15)7-3-5-8(6-4-7)11(12,13)14/h3-6H,2H2,1H3",CCOC(=O)C(=O)c1ccc(C(F)(F)F)cc1,420.58295075875424,False,['73790-06-4'],0.2196051716
POOL-00025720,"InChI=1S/C12H11F3O3/c1-2-18-11(17)7-10(16)8-3-5-9(6-4-8)12(13,14)15/h3-6H,2,7H2,1H3",CCOC(=O)CC(=O)c1ccc(C(F)(F)F)cc1,434.8760118809773,False,['106263-53-0'],0.2172095152
POOL-00005617,"InChI=1S/C13H11BrO3/c1-16-13(15)8-17-12-5-3-9-6-11(14)4-2-10(9)7-12/h2-7H,8H2,1H3",COC(=O)COc1ccc2cc(Br)ccc2c1,551.3559139974373,False,['270081-83-9'],0.2457289876
POOL-00036843,InChI=1S/C14H8F2O2/c15-11-5-1-9(2-6-11)13(17)14(18)10-3-7-12(16)8-4-10/h1-8H,O=C(C(=O)c1ccc(F)cc1)c1ccc(F)cc1,530.6959859811753,False,['579-39-5'],0.2588774163
POOL-00028320,"InChI=1S/C13H11NO2S/c15-14(16)12-8-6-11(7-9-12)10-17-13-4-2-1-3-5-13/h1-9H,10H2",O=[N+]([O-])c1ccc(CSc2ccccc2)cc1,496.5877288588948,False,['7703-38-0'],0.2194729522
POOL-00010900,"InChI=1S/C11H17F3O3S/c1-10(2,3)8-4-6-9(7-5-8)17-18(15,16)11(12,13)14/h6,8H,4-5,7H2,1-3H3",CC(C)(C)C1CC=C(OS(=O)(=O)C(F)(F)F)CC1,429.4302407213864,False,['77412-96-5'],0.2190923944
POOL-00028622,"InChI=1S/C16H15FO3/c1-2-19-16-9-13(10-18)5-8-15(16)20-11-12-3-6-14(17)7-4-12/h3-10H,2,11H2,1H3",CCOc1cc(C=O)ccc1OCc1ccc(F)cc1,578.7758981375017,False,['352455-50-6'],0.2485277051
POOL-00011696,"InChI=1S/C11H12O3/c1-2-3-9(12)8-4-5-10-11(6-8)14-7-13-10/h4-6H,2-3,7H2,1H3",CCCC(=O)c1ccc2c(c1)OCO2,357.5503185287034,False,['63740-97-6'],0.2470914566
,,,,,,
POOL-00026641,"InChI=1S/C6H3F4N/c7-5-3-11-2-1-4(5)6(8,9)10/h1-3H",Fc1cnccc1C(F)(F)F,255.00435022836652,False,['113770-87-9'],0.223089828
POOL-00017147,"InChI=1S/C6H3BrF3N/c7-5-4(6(8,9)10)2-1-3-11-5/h1-3H",FC(F)(F)c1cccnc1Br,258.2494627262031,False,['175205-82-0'],0.2304087895
POOL-00026644,"InChI=1S/C6H3BrF3N/c7-5-3-1-2-4(11-5)6(8,9)10/h1-3H",FC(F)(F)c1cccc(Br)n1,258.24946272620303,False,['189278-27-1'],0.2336236402
POOL-00008048,"InChI=1S/C6H3BrF3N/c7-4-1-2-11-5(3-4)6(8,9)10/h1-3H",FC(F)(F)c1cc(Br)ccn1,258.24946272620303,False,['887583-90-6'],0.2436527883
POOL-00003940,"InChI=1S/C6H4BrF2N/c7-4-1-2-5(6(8)9)10-3-4/h1-3,6H",FC(F)c1ccc(Br)cn1,209.49273048806663,False,['845827-13-6'],0.2236988007
POOL-00025245,"InChI=1S/C6H3F4N/c7-5-3-1-2-4(11-5)6(8,9)10/h1-3H",Fc1cccc(C(F)(F)F)n1,255.0043502283665,False,['94239-04-0'],0.2137336894
POOL-00005421,"InChI=1S/C6H2F5N/c7-3-1-2-4(8)12-5(3)6(9,10)11/h1-2H",Fc1ccc(F)c(C(F)(F)F)n1,292.48018595134226,False,['1099597-92-8'],0.229393688
POOL-00004253,"InChI=1S/C6H4BrF2N/c7-5-4(6(8)9)2-1-3-10-5/h1-3,6H",FC(F)c1cccnc1Br,226.74273048806663,False,['1211515-00-2'],0.224995776
POOL-00025238,"InChI=1S/C6H3BrF3N/c7-5-2-1-4(3-11-5)6(8,9)10/h1-3H",FC(F)(F)c1ccc(Br)nc1,240.99946272620303,False,['50488-42-1'],0.2450165447
POOL-00031509,"InChI=1S/C6H4BrF2N/c7-5-1-4(6(8)9)2-10-3-5/h1-3,6H",FC(F)c1cncc(Br)c1,226.74273048806663,False,['114468-04-1'],0.2452136249
POOL-00006268,"InChI=1S/C6H2BrF4N/c7-3-1-2-4(6(9,10)11)12-5(3)8/h1-2H",Fc1nc(C(F)(F)F)ccc1Br,296.089826425779,False,['1159512-36-3'],0.24416103
POOL-00025805,"InChI=1S/C6H3BrF3N/c7-4-1-2-5(11-3-4)6(8,9)10/h1-3H",FC(F)(F)c1ccc(Br)cn1,240.99946272620303,False,['436799-32-5'],0.2446245723
