ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00030274,"InChI=1S/C14H9BrF3NO/c15-11-4-6-12(7-5-11)19-13(20)9-2-1-3-10(8-9)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccc(Br)cc1)c1cccc(C(F)(F)F)c1,623.0612969345251,False,['562080-79-9'],0.1519955008
POOL-00024459,"InChI=1S/C14H9BrF3NO/c15-11-5-2-6-12(8-11)19-13(20)9-3-1-4-10(7-9)14(16,17)18/h1-8H,(H,19,20)",OC(=Nc1cccc(Br)c1)c1cccc(C(F)(F)F)c1,652.8624300402118,False,['710310-54-6'],0.1552573344
POOL-00027396,"InChI=1S/C15H11F4NO2/c16-11-4-6-13(7-5-11)22-9-14(21)20-12-3-1-2-10(8-12)15(17,18)19/h1-8H,9H2,(H,20,21)",OC(COc1ccc(F)cc1)=Nc1cccc(C(F)(F)F)c1,665.9878192043698,False,['27033-33-6'],0.143229363
POOL-00019227,"InChI=1S/C15H12F3NO2/c1-21-13-7-2-4-10(14(13)20)9-19-12-6-3-5-11(8-12)15(16,17)18/h2-9,20H,1H3",COc1cccc(C=Nc2cccc(C(F)(F)F)c2)c1O,666.2085728259892,False,['200630-43-9'],0.1458674264
POOL-00036847,"InChI=1S/C15H12F3NO/c1-10-5-2-3-8-13(10)14(20)19-12-7-4-6-11(9-12)15(16,17)18/h2-9H,1H3,(H,19,20)",Cc1ccccc1C(O)=Nc1cccc(C(F)(F)F)c1,647.5620400148906,False,['1939-22-6'],0.1538200525
POOL-00030314,"InChI=1S/C14H9F4NO/c15-11-6-1-2-7-12(11)19-13(20)9-4-3-5-10(8-9)14(16,17)18/h1-8H,(H,19,20)",OC(=Nc1ccccc1F)c1cccc(C(F)(F)F)c1,649.6173175423753,False,['199461-55-7'],0.1556796109
POOL-00021205,"InChI=1S/C14H9F4NO/c15-10-5-3-4-9(8-10)13(20)19-12-7-2-1-6-11(12)14(16,17)18/h1-8H,(H,19,20)",OC(=Nc1ccccc1C(F)(F)F)c1cccc(F)c1,649.6173175423753,False,['3850-95-1'],0.1601033301
POOL-00031891,"InChI=1S/C15H12F3NO/c1-10-6-8-11(9-7-10)14(20)19-13-5-3-2-4-12(13)15(16,17)18/h2-9H,1H3,(H,19,20)",Cc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,617.7609069092039,False,['303793-20-6'],0.1509824337
POOL-00025318,"InChI=1S/C13H10F3NO2S/c1-2-19-12(18)10-7-20-11(17-10)8-3-5-9(6-4-8)13(14,15)16/h3-7H,2H2,1H3",CCOC(=O)c1csc(-c2ccc(C(F)(F)F)cc2)n1,604.8239839121023,False,['175204-88-3'],0.1487950527
POOL-00030273,"InChI=1S/C14H9F4NO/c15-11-4-6-12(7-5-11)19-13(20)9-2-1-3-10(8-9)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccc(F)cc1)c1cccc(C(F)(F)F)c1,619.8161844366886,False,['33489-71-3'],0.1541831715
POOL-00020410,"InChI=1S/C16H13F4NO/c17-13-5-1-11(2-6-13)15(22)9-10-21-14-7-3-12(4-8-14)16(18,19)20/h1-8,21H,9-10H2",O=C(CCNc1ccc(C(F)(F)F)cc1)c1ccc(F)cc1,632.6905364961106,False,['477334-16-0'],0.1508822032
POOL-00034562,"InChI=1S/C14H9F4NO/c15-10-7-5-9(6-8-10)13(20)19-12-4-2-1-3-11(12)14(16,17)18/h1-8H,(H,19,20)",O=C(Nc1ccccc1C(F)(F)F)c1ccc(F)cc1,619.8161844366884,False,['2053-99-8'],0.1600489373
POOL-00032278,"InChI=1S/C15H9F6NO/c16-14(17,18)10-6-11(15(19,20)21)8-12(7-10)22-13(23)9-4-2-1-3-5-9/h1-8H,(H,22,23)",OC(=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1,686.7323399614263,False,['192049-16-4'],0.1600544501
POOL-00037025,"InChI=1S/C15H12F3NO/c16-15(17,18)12-7-4-8-13(10-12)19-14(20)9-11-5-2-1-3-6-11/h1-8,10H,9H2,(H,19,20)",OC(Cc1ccccc1)=Nc1cccc(C(F)(F)F)c1,606.0157328233128,False,['1939-21-5'],0.1520391486
POOL-00011578,"InChI=1S/C15H12F3NO2/c1-2-21-14(20)11-8-9-12(15(16,17)18)19-13(11)10-6-4-3-5-7-10/h3-9H,2H2,1H3",CCOC(=O)c1ccc(C(F)(F)F)nc1-c1ccccc1,639.1121439954974,False,['149770-27-4'],0.149445211
POOL-00033433,"InChI=1S/C14H10F3NO/c15-14(16,17)11-5-3-6-12(8-11)18-9-10-4-1-2-7-13(10)19/h1-9,19H",Oc1ccccc1C=Nc1cccc(C(F)(F)F)c1,605.6352264399749,False,['351-16-6'],0.1550993357
POOL-00022885,"InChI=1S/C15H18F3NO/c16-15(17,18)13-8-6-11(7-9-13)10-19-14(20)12-4-2-1-3-5-12/h6-9,12H,1-5,10H2,(H,19,20)",OC(=NCc1ccc(C(F)(F)F)cc1)C1CCCCC1,459.00212437185934,False,['305849-44-9'],0.1497967122
POOL-00031521,"InChI=1S/C15H9F6NO/c16-14(17,18)10-5-11(15(19,20)21)7-12(6-10)22-8-9-3-1-2-4-13(9)23/h1-8,23H",Oc1ccccc1C=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,701.2274524592627,False,['92175-89-8'],0.1590702264
